Element 1 ID	Element 2 ID	STRING escore	STRING tscore	STRING dscore
O75888	Q9Y275	379	228	0
P50591	P01375	0	710	0
P50591	P01375	0	710	0
GO:0006955	P09564	TAS		
P36575	P35555	131	66	0
P36575	P35555	131	66	0
Q16568	P15391	0	795	0
Q16568	P15391	0	795	0
Q06187	P11274	63	266	900
Q06187	P11274	63	266	900
Q15672	P36575	0	160	0
Q15672	P36575	0	160	0
P36575	P29965	193	49	0
P36575	P29965	193	49	0
Q15672	P05231	0	658	0
Q15672	P05231	0	658	0
P35228	P05231	0	735	0
P35228	P05231	0	735	0
P35228	P05231	0	735	0
P35228	P05231	0	735	0
Q15672	P36575	0	160	0
Q15672	P36575	0	160	0
P01106	P46531	68	872	900
P01106	P46531	68	872	900
P43403	P06239	472	270	900
P43403	P06239	472	270	900
P43403	P06239			
P43403	P06239			
P43403	P06239			
P43403	P06239			
O95936	P10747	0	537	0
O95936	P10747	0	537	0
P23771	P10747	0	686	0
P23771	P10747	0	686	0
Q9UL17	P10747	0	764	0
Q9UL17	P10747	0	764	0
Q15762	Q495A1	379	834	0
Q15762	Q495A1	379	834	0
P60568	P01009	0	307	0
P60568	P01009	0	307	0
P11274	P36888	0	429	0
P11274	P36888	0	429	0
Q8NHQ1	P15391	0	679	0
Q8NHQ1	P15391	0	679	0
Q15672	P05231	0	658	0
Q15672	P05231	0	658	0
GO:0006955	P01730	NAS		
P60568	P10747	0	956	0
P60568	P10747	0	956	0
Q9NZQ7	P01579	0	842	0
Q9NZQ7	P01579	0	842	0
Q07011	P10747	0	807	0
Q07011	P10747	0	807	0
Q15672	P36575	0	160	0
Q15672	P36575	0	160	0
P08174	P15391	0	354	0
P08174	P15391	0	354	0
P08174	P20273	0	354	0
P08174	P20273	0	354	0
P42224	Q9GZX6	0	714	900
P42224	Q9GZX6	0	714	900
P40763	Q9GZX6	0	837	900
P40763	Q9GZX6	0	837	900
P40763	Q9GZX6			
P40763	Q9GZX6			
P42229	P40933	98	813	900
P42229	P40933	98	813	900
P42229	P60568	0	918	900
P42229	P60568	0	918	900
P42229	Q9GZX6	0	512	900
P42229	Q9GZX6	0	512	900
P42229	P13232	0	857	900
P42229	P13232	0	857	900
P42229	P13232			
P42229	P13232			
P51692	P40933	101	812	900
P51692	P40933	101	812	900
P51692	P60568	0	915	900
P51692	P60568	0	915	900
P51692	Q9GZX6	0	510	900
P51692	Q9GZX6	0	510	900
P51692	P13232	0	855	900
P51692	P13232	0	855	900
P51692	P13232			
P51692	P13232			
P10144	Q9GZX6	0	419	0
P10144	Q9GZX6	0	419	0
P08151	A0A0B4J2D5	68	257	0
P08151	A0A0B4J2D5	68	257	0
O43623	Q9Y5J3	84	438	0
O43623	Q9Y5J3	84	438	0
O14746	P35226	0	553	0
O14746	P35226	0	553	0
P46527	A0A0B4J2D5	0	206	0
P46527	A0A0B4J2D5	0	206	0
Q9NR61	P15692	0	887	0
Q9NR61	P15692	0	887	0
P05231	Q9Y5J3	0	543	0
P05231	Q9Y5J3	0	543	0
P40763	A0A0B4J2D5	412	252	900
P40763	A0A0B4J2D5	412	252	900
GO:0017144	P08684	IDA		
P60484	A0A0B4J2D5	0	604	0
P60484	A0A0B4J2D5	0	604	0
P01730	P11226	0	254	0
P01730	P11226	0	254	0
P40933	Q02223	0	208	0
P40933	Q02223	0	208	0
P40933	P13232	0	922	0
P40933	P13232	0	922	0
P60568	Q02223	0	284	0
P60568	Q02223	0	284	0
P13232	Q02223	0	173	0
P13232	Q02223	0	173	0
P18627	P40933	0	519	0
P18627	P40933	0	519	0
GO:0006954	Q99572	IEA		
P04626	Q8NHQ1	0	400	0
P04626	Q8NHQ1	0	400	0
P78324	Q08722	885	943	900
P78324	Q08722	885	943	900
P78324	Q08722			
P78324	Q08722			
P78324	Q08722			
P20138	P26951	0	736	0
P20138	P26951	0	736	0
GO:0042110	P10747	IGI		
GO:0006955	Q15399	TAS		
Q15762	P40933	0	594	0
Q15762	P40933	0	594	0
Q15762	P60568	0	633	0
Q15762	P60568	0	633	0
Q15762	P13232	0	297	0
Q15762	P13232	0	297	0
P26718	P40933	0	919	0
P26718	P40933	0	919	0
P26718	P60568	0	884	0
P26718	P60568	0	884	0
P26718	P13232	0	530	0
P26718	P13232	0	530	0
P36575	P04626	0	196	0
P36575	P04626	0	196	0
GO:0007165	P32970	TAS		
P10144	P01730	0	441	0
P10144	P01730	0	441	0
GO:0007165	O75888	TAS		
GO:0007165	Q9Y275	TAS		
GO:0007165	Q02223	TAS		
P01589	P01730	336	640	0
P01589	P01730	336	640	0
Q07108	P01730	0	559	0
Q07108	P01730	0	559	0
Q16552	P27487	0	330	0
Q16552	P27487	0	330	0
P41597	P27487	0	310	0
P41597	P27487	0	310	0
P27487	P01730	336	222	0
P27487	P01730	336	222	0
P27487	P60568	0	499	0
P27487	P60568	0	499	0
O00574	P27487	0	171	0
O00574	P27487	0	171	0
Q16552	Q9NPF7	0	888	0
Q16552	Q9NPF7	0	888	0
Q15672	P36575	0	160	0
Q15672	P36575	0	160	0
P01730	Q9UL17	0	522	0
P01730	Q9UL17	0	522	0
Q9UL17	P23771	344	971	800
Q9UL17	P23771	344	971	800
GO:0007165	P36575	IEA		
P35225	Q9UL17	0	834	0
P35225	Q9UL17	0	834	0
P35225	Q8IXH7	0	669	0
P35225	Q8IXH7	0	669	0
PF02189	P06239	84	618	0
PF02189	P06239	84	618	0
P43403	P06239	472	270	900
P43403	P06239	472	270	900
P43403	P06239			
P43403	P06239			
P43403	P06239			
P43403	P06239			
Q9NZQ7	Q96EA4	0	772	0
Q9NZQ7	Q96EA4	0	772	0
P01589	P10747	0	701	0
P01589	P10747	0	701	0
P14778	P18510			
Q96SZ5	P21589	0	626	0
Q96SZ5	P21589	0	626	0
P01579	P29350	0	188	900
P01579	P29350	0	188	900
P01579	P29350			
P33681	P16410	882	968	900
P33681	P16410	882	968	900
P33681	P16410			
P33681	P16410			
P42081	P16410	899	963	900
P42081	P16410	899	963	900
P42081	P16410			
P42081	P16410			
Q7Z4W1	P78536	0	313	0
Q7Z4W1	P78536	0	313	0
P18627	Q16568	0	525	0
P18627	Q16568	0	525	0
P06239	3062316	994	851	800
Q9BQ51	P04141	0	766	0
Q9BQ51	P04141	0	766	0
Q9BQ51	P05112	0	796	0
Q9BQ51	P05112	0	796	0
P11274	P20273	0	194	900
P11274	P20273	0	194	900
P11166	P20142	0	144	0
P11166	P20142	0	144	0
Q15672	P36575	0	160	0
Q15672	P36575	0	160	0
Q15672	P36575	0	160	0
Q15672	P36575	0	160	0
P09326	P01730	0	292	0
P09326	P01730	0	292	0
P31749	P10176	0	347	0
P31749	P10176	0	347	0
Q02223	P43489	0	356	0
Q02223	P43489	0	356	0
GO:0042110	P10747	IGI		
GO:0045453	O14788	IEA		
GO:0008283	Q9Y275	TAS		
P42345	P31947	170	211	900
P42345	P31947	170	211	900
P10144	Q13761	0	430	0
P10144	Q13761	0	430	0
P15391	P11274	0	287	900
P15391	P11274	0	287	900
P26718	P21589	0	266	0
P26718	P21589	0	266	0
P04198	P11926	0	670	0
P04198	P11926	0	670	0
P01106	P11926	192	810	0
P01106	P11926	192	810	0
P20138	Q8NHQ1	0	583	0
P20138	Q8NHQ1	0	583	0
P28908	P10747	0	560	0
P28908	P10747	0	560	0
P28908	P43489	0	715	0
P28908	P43489	0	715	0
GO:0006281	Q8N884	IEA		
GO:0008283	Q9UJV9	IMP		
P10747	P01730	336	590	900
P10747	P01730	336	590	900
P11226	P01730	0	254	0
P11226	P01730	0	254	0
P32302	P36575	193	49	0
P32302	P36575	193	49	0
P41182	P11274	0	250	900
P41182	P11274	0	250	900
P01730	P29350	0	185	900
P01730	P29350	0	185	900
P01730	P29350			
GO:0008283	P29350	IDA		
P43403	P06239	472	270	900
P43403	P06239	472	270	900
P43403	P06239			
P43403	P06239			
P43403	P06239			
P43403	P06239			
P15941	Q9Y336	0	347	0
P15941	Q9Y336	0	347	0
O15389	P10145	0	164	0
O15389	P10145	0	164	0
P01589	P40933	0	832	600
P01589	P40933	0	832	600
Q07108	P40933	0	832	0
Q07108	P40933	0	832	0
O95944	P40933	0	802	0
O95944	P40933	0	802	0
P26718	P40933	0	919	0
P26718	P40933	0	919	0
Q15762	P40933	0	594	0
Q15762	P40933	0	594	0
O14931	P40933	0	802	0
O14931	P40933	0	802	0
O95944	P26718.T	0	882	0
O95944	P26718.T	0	882	0
P50591	P40933	0	484	0
P50591	P40933	0	484	0
P04141	P22301	0	937	900
P04141	P22301	0	937	900
P04141	P05231	0	952	0
P04141	P05231	0	952	0
P09919	P22301	0	875	900
P09919	P22301	0	875	900
P09919	P05231	0	892	0
P09919	P05231	0	892	0
P02778	P22301	0	913	900
P02778	P22301	0	913	900
P02778	P05231	0	865	0
P02778	P05231	0	865	0
P13500	P22301	0	955	900
P13500	P22301	0	955	900
P13500	P05231	0	977	0
P13500	P05231	0	977	0
P26718	P13591	0	829	0
P26718	P13591	0	829	0
P05107	P26718	0	355	0
P05107	P26718	0	355	0
Q9BZW8	P26718	0	719	0
Q9BZW8	P26718	0	719	0
P13591	P26718	0	829	0
P13591	P26718	0	829	0
P05107	P26718	0	355	0
P05107	P26718	0	355	0
P05107	Q9BZW8	0	295	0
P05107	Q9BZW8	0	295	0
P26718	Q9BZW8	0	719	0
P26718	Q9BZW8	0	719	0
P32248	P05019	0	188	0
P32248	P05019	0	188	0
P32248	P48061	0	733	900
P32248	P48061	0	733	900
P32248	P13232	0	684	0
P32248	P13232	0	684	0
P14151	P48061	0	580	0
P14151	P48061	0	580	0
P14151	P05019	0	244	0
P14151	P05019	0	244	0
P14151	P13232	0	684	0
P14151	P13232	0	684	0
P60568	P05019	0	499	0
P60568	P05019	0	499	0
GO:0008283	P05019	IMP		
Q16520	JUN_FAMILY.T	588	579	0
Q16520	JUN_FAMILY.T	588	579	0
Q9NR55	JUN_FAMILY.T	780	621	900
Q9NR55	JUN_FAMILY.T	780	621	900
Q15306	JUN_FAMILY.T	0	427	900
Q15306	JUN_FAMILY.T	0	427	900
P17275	JUN_FAMILY.T	728	125	900
P17275	JUN_FAMILY.T	728	125	900
P15391	Q07011	0	677	0
P15391	Q07011	0	677	0
P31944	P22735	0	330	900
P31944	P22735	0	330	900
P05231	P10747	0	773	0
P05231	P10747	0	773	0
O14763	P14902	0	189	0
O14763	P14902	0	189	0
GO:0006915	P50591	IEA		
